date	power	latitude	longitude
01.5.5 19:23	1.7	34.4 N	127.4 E
01.5.5 11:21	3.3	37.8 N	124.5 E
01.4.21 2:30	2.1	35.9 N	125.3 E
01.4.17 2:42	2.5	35.4 N	126.1 E
01.4.16 22:50	2.2	35.9 N	129.7 E
01.3.19 22:16	2.8	37.6 N	124.6 E
01.3.7 8:27	2.5	35.1 N	127.8 E
01.3.6 0:23	2.3	35.3 N	125.7 E
01.2.28 12:46	2.9	35.3 N	127.9 E
01.2.19 8:27	2	37.4 N	128.4 E
01.2.14 1:02	2.2	36.0 N	128.2 E
01.2.10 17:47	2	37.1 N	127.6 E
01.2.8 16:59	2.3	38.4 N	127.9 E
01.1.29 11:44	3	35.7 N	126.6 E
00.12.22 8:19	2.7	36.3 N	127.4 E
00.12.9 18:51	3.7	36.5 N	130.0 E
00.12.2 16:53	3.1	34.6 N	126.9 E
00.11.14 17:41	2.9	38.8 N	125.8 E
00.11.5 21:39	2.2	36.2 N	127.2 E
00.10.28 7:10	2.7	37.1 N	126.7 E
00.10.23 11:35	2.6	37.7 N	125.7 E
00.10.8 7:46	2.6	37.3 N	128.8 E
00.10.3 0:01	2	36.7 N	127.2 E
00.9.23 10:07	2.4	35.6 N	128.4 E
